[03:44:23] umvc3_shaderdump loaded
[03:44:23] IAT hook installed: Direct3DCreate9 was 00007FF87F8FC0C0
[03:44:23] Direct3DCreate9(32) -> 000000001AF921E0
[03:44:23]   hooked slot 16  CreateDevice         00007FF803767E80 in gameoverlayrenderer64.dll
[03:44:23] CreateDevice ok, device 000000001B1FAF20 - hooking its vtable
[03:44:23]   hooked slot 91  CreateVertexShader   00007FF87F8F7800 in d3d9.dll
[03:44:23]   hooked slot 106 CreatePixelShader    00007FF87F8C5C80 in d3d9.dll
[03:44:23]   hooked slot 92  SetVertexShader      00007FF87F90C2A0 in d3d9.dll
[03:44:23]   hooked slot 107 SetPixelShader       00007FF87F90B6B0 in d3d9.dll
[03:44:23] device hooked; shaders will be written to C:\Program Files (x86)\Steam\steamapps\common\ULTIMATE MARVEL VS. CAPCOM 3\shaderdump
[03:44:23] vertex shader #0      1040 bytes  crc 082B39ED  version 3_0  -> vs_0000_082B39ED.bin
[03:44:23] vertex shader #1      1448 bytes  crc 0D5C323C  version 3_0  -> vs_0001_0D5C323C.bin
[03:44:23] vertex shader #2      2292 bytes  crc 3E59220A  version 3_0  -> vs_0002_3E59220A.bin
[03:44:23] vertex shader #3      1048 bytes  crc ACD4EA2E  version 3_0  -> vs_0003_ACD4EA2E.bin
[03:44:23] vertex shader #4      1616 bytes  crc 93006E7F  version 3_0  -> vs_0004_93006E7F.bin
[03:44:23] vertex shader #5      1332 bytes  crc 87976895  version 3_0  -> vs_0005_87976895.bin
[03:44:23] vertex shader #6       864 bytes  crc 3AA6E99F  version 3_0  -> vs_0006_3AA6E99F.bin
[03:44:23] vertex shader #7      1604 bytes  crc 1E7C8C7F  version 3_0  -> vs_0007_1E7C8C7F.bin
[03:44:23] vertex shader #8      1216 bytes  crc C886D4D4  version 3_0  -> vs_0008_C886D4D4.bin
[03:44:23] vertex shader #9       864 bytes  crc 34DD6E0A  version 3_0  -> vs_0009_34DD6E0A.bin
[03:44:23] vertex shader #10     1732 bytes  crc C27AACE6  version 3_0  -> vs_0010_C27AACE6.bin
[03:44:23] vertex shader #11      628 bytes  crc 47F4ECCD  version 3_0  -> vs_0011_47F4ECCD.bin
[03:44:23] vertex shader #12     1696 bytes  crc F6CA9D78  version 3_0  -> vs_0012_F6CA9D78.bin
[03:44:23] vertex shader #13     1576 bytes  crc BF603DEE  version 3_0  -> vs_0013_BF603DEE.bin
[03:44:23] vertex shader #14     1684 bytes  crc 957D02BE  version 3_0  -> vs_0014_957D02BE.bin
[03:44:23] vertex shader #15     2136 bytes  crc B72A4B90  version 3_0  -> vs_0015_B72A4B90.bin
[03:44:23] vertex shader #16     1732 bytes  crc C70ADB7B  version 3_0  -> vs_0016_C70ADB7B.bin
[03:44:23] vertex shader #17     1180 bytes  crc D05A7118  version 3_0  -> vs_0017_D05A7118.bin
[03:44:23] vertex shader #18     1380 bytes  crc F4944A61  version 3_0  -> vs_0018_F4944A61.bin
[03:44:23] vertex shader #19     1916 bytes  crc 5C12A799  version 3_0  -> vs_0019_5C12A799.bin
[03:44:23] vertex shader #20     2316 bytes  crc 3A64DB8B  version 3_0  -> vs_0020_3A64DB8B.bin
[03:44:23] vertex shader #21     1472 bytes  crc 39B7A94D  version 3_0  -> vs_0021_39B7A94D.bin
[03:44:23] vertex shader #22     1192 bytes  crc 2AEAF7E2  version 3_0  -> vs_0022_2AEAF7E2.bin
[03:44:23] vertex shader #23     1108 bytes  crc C07EDBDD  version 3_0  -> vs_0023_C07EDBDD.bin
[03:44:23] vertex shader #24     1000 bytes  crc 98E0F4D4  version 3_0  -> vs_0024_98E0F4D4.bin
[03:44:23] vertex shader #25     1724 bytes  crc 40DD0299  version 3_0  -> vs_0025_40DD0299.bin
[03:44:23] vertex shader #26     1160 bytes  crc BA9455BA  version 3_0  -> vs_0026_BA9455BA.bin
[03:44:23] vertex shader #27      892 bytes  crc 9A646E5D  version 3_0  -> vs_0027_9A646E5D.bin
[03:44:23] vertex shader #28     1868 bytes  crc 03515CDD  version 3_0  -> vs_0028_03515CDD.bin
[03:44:23] vertex shader #29      280 bytes  crc 1287841D  version 3_0  -> vs_0029_1287841D.bin
[03:44:23] vertex shader #30     1232 bytes  crc D0292DAE  version 3_0  -> vs_0030_D0292DAE.bin
[03:44:23] vertex shader #31     1700 bytes  crc 90DBAC24  version 3_0  -> vs_0031_90DBAC24.bin
[03:44:23] vertex shader #32      960 bytes  crc 5B583C39  version 3_0  -> vs_0032_5B583C39.bin
[03:44:23] vertex shader #33     1332 bytes  crc 49A1088B  version 3_0  -> vs_0033_49A1088B.bin
[03:44:23] vertex shader #34     1140 bytes  crc 565DF672  version 3_0  -> vs_0034_565DF672.bin
[03:44:23] vertex shader #35     1412 bytes  crc 31316552  version 3_0  -> vs_0035_31316552.bin
[03:44:23] vertex shader #36     1268 bytes  crc 936BEBEA  version 3_0  -> vs_0036_936BEBEA.bin
[03:44:23] vertex shader #37     1084 bytes  crc 95C32D4E  version 3_0  -> vs_0037_95C32D4E.bin
[03:44:23] vertex shader #38     1472 bytes  crc EEF8D516  version 3_0  -> vs_0038_EEF8D516.bin
[03:44:23] vertex shader #39      320 bytes  crc 6D48CD46  version 3_0  -> vs_0039_6D48CD46.bin
[03:44:23] vertex shader #40     1176 bytes  crc 995632AB  version 3_0  -> vs_0040_995632AB.bin
[03:44:23] vertex shader #41      864 bytes  crc 9A97779E  version 3_0  -> vs_0041_9A97779E.bin
[03:44:23] vertex shader #42      532 bytes  crc 8DF79E96  version 3_0  -> vs_0042_8DF79E96.bin
[03:44:23] vertex shader #43      624 bytes  crc B6CA6A43  version 3_0  -> vs_0043_B6CA6A43.bin
[03:44:23] vertex shader #44     1832 bytes  crc 4D38F370  version 3_0  -> vs_0044_4D38F370.bin
[03:44:23] vertex shader #45      804 bytes  crc 062F2624  version 3_0  -> vs_0045_062F2624.bin
[03:44:23] vertex shader #46     1320 bytes  crc AAF07C9F  version 3_0  -> vs_0046_AAF07C9F.bin
[03:44:23] vertex shader #47     1344 bytes  crc 48087430  version 3_0  -> vs_0047_48087430.bin
[03:44:23] vertex shader #48     1180 bytes  crc D2B7E838  version 3_0  -> vs_0048_D2B7E838.bin
[03:44:23] vertex shader #49      920 bytes  crc 90D172D9  version 3_0  -> vs_0049_90D172D9.bin
[03:44:23] vertex shader #50     1600 bytes  crc 5A2901A7  version 3_0  -> vs_0050_5A2901A7.bin
[03:44:23] vertex shader #51      588 bytes  crc 5802BB90  version 3_0  -> vs_0051_5802BB90.bin
[03:44:23] vertex shader #52     1308 bytes  crc 98B6A361  version 3_0  -> vs_0052_98B6A361.bin
[03:44:23] vertex shader #53     1548 bytes  crc FD54BABD  version 3_0  -> vs_0053_FD54BABD.bin
[03:44:23] vertex shader #54     1064 bytes  crc 4718DAB4  version 3_0  -> vs_0054_4718DAB4.bin
[03:44:23] vertex shader #55     1176 bytes  crc 3A76867D  version 3_0  -> vs_0055_3A76867D.bin
[03:44:23] vertex shader #56      900 bytes  crc FED187A3  version 3_0  -> vs_0056_FED187A3.bin
[03:44:23] vertex shader #57      820 bytes  crc 7AE7E507  version 3_0  -> vs_0057_7AE7E507.bin
[03:44:23] vertex shader #58     1432 bytes  crc 4C63964C  version 3_0  -> vs_0058_4C63964C.bin
[03:44:23] vertex shader #59      516 bytes  crc 9155FB0D  version 3_0  -> vs_0059_9155FB0D.bin
[03:44:23] vertex shader #60     1196 bytes  crc 4CF2239F  version 3_0  -> vs_0060_4CF2239F.bin
[03:44:23] vertex shader #61     1736 bytes  crc DA9D4B6A  version 3_0  -> vs_0061_DA9D4B6A.bin
[03:44:23] vertex shader #62     1576 bytes  crc 7CF61EBF  version 3_0  -> vs_0062_7CF61EBF.bin
[03:44:23] vertex shader #63      868 bytes  crc 794DD7B6  version 3_0  -> vs_0063_794DD7B6.bin
[03:44:23] vertex shader #64     1540 bytes  crc 8F952C4C  version 3_0  -> vs_0064_8F952C4C.bin
[03:44:23] vertex shader #65     1168 bytes  crc CEB6640D  version 3_0  -> vs_0065_CEB6640D.bin
[03:44:23] vertex shader #66      816 bytes  crc 9A259BD3  version 3_0  -> vs_0066_9A259BD3.bin
[03:44:23] vertex shader #67     1204 bytes  crc 6A39F7BD  version 3_0  -> vs_0067_6A39F7BD.bin
[03:44:23] vertex shader #68     1592 bytes  crc 8A9E89B3  version 3_0  -> vs_0068_8A9E89B3.bin
[03:44:23] vertex shader #69      976 bytes  crc 95947AB5  version 3_0  -> vs_0069_95947AB5.bin
[03:44:23] vertex shader #70      228 bytes  crc 3F5EF354  version 3_0  -> vs_0070_3F5EF354.bin
[03:44:23] vertex shader #71     1436 bytes  crc 034205BB  version 3_0  -> vs_0071_034205BB.bin
[03:44:23] vertex shader #72      628 bytes  crc 57B1D403  version 3_0  -> vs_0072_57B1D403.bin
[03:44:23] vertex shader #73     1248 bytes  crc 87FCA6E5  version 3_0  -> vs_0073_87FCA6E5.bin
